name,measurement_unit,weight_per_unit,protein_per_100g,calories_per_100g,fat_per_100g,carbohydrates_per_100g,alcohol_percentage
coconut milk imp,ml,,0.8,54,2.3,7,0
bruin brood,g,,10,254,2.6,45,0
romig,g,,10,10435.0,1180,10,0
mix di verdure (mixed vegetables),g,,2.8,59,1.1,7.5,0
mini rozijnen krenten bollen,g,,8.1,283,2.7,55,0
griekse feta,g,,16,273,23,0.5,0
biologische volle melk,ml,,3.3,63,3.5,4.5,0
good noodles groente,g,,1.8,84.9,3.7,10.6,0
roomyoghurt spaanse sinaasappel,g,,2.7,140,8.1,13.2,0
pinda kaas,g,,23,655,56,12,0
melkunie protein strawberry 0.8% fat yogurt,g,,10,71,0.6,5.6,0
natrue barista,g,,1.2,62,3.2,6.7,0
scharreleieren,g,,12.7,148,10,0.5,0
bio bloemenhoning,g,,0.1,302,0.1,75.1,0
authentieke griekse yoghurt,g,,5.9,125,10,2.9,0
mix,g,,3,445,14,75.5,0
awake,g,,0,17,0,4.2,0
aardbei,g,,0.4,249,0.2,60,0
flüssiger blüten honig,g,,0.4,302,0.1,75.1,0
authentic greek yoghurt 0% vet,g,,9,47,0,2.8,0
groene pesto,g,,7.9,569,58,3.1,0
kania tomatenketchup,ml,,1.4,75,0.1,16.5,0
icetea,ml,,0,10,0,2.3,0
crunchy bar amandel speculaas,g,,16.2,490,25.8,39.8,0
organic coconut milk,ml,,0.2,162,17,1.6,0
vlugge japie,g,,3.1,305.7,0.9,69.3,0
cashew nuts xxl,g,,20.5,600,47.6,19.8,0
zilvervlies rijst volkorenrijst,g,,7.3,346,2.8,70,0
groentesaus,ml,,0.4,52,1.6,8.8,0
sardines with hot peppers in soya oil,g,,17,126,6.5,0.5,0
iogurte banana,g,,10.6,166,0.2,5.5,0
aardbeien fruitspread,g,,0.5,108,0.3,24,0
passata,g,,1.6,38,0.1,7.8,0
holies proteïne koekreep,g,,22,458,26.3,23.3,0
sojagurt,ml,,4.4,46,2.2,1.8,0
fis en tintelend! goed schudden! arla cultura fram,g,,3.3,63,1.4,8,0
sel de mer fin,g,,0,0,0,0,0
campina echte slagroom,g,,2.3,304,28,11,0
pindakaas 100% stukjes pinda,g,,26,576,44,16,0
goudkuipje naturel,g,,14,243,20,1.7,0
"granola nuts & seeds hazelnuts, almonds & pecans",g,,12.6,404,14.9,49.1,0
